Category,Role,Keywords,Skills,KPI,Tools
IT,Security Engineer v4,"cybersecurity, threat detection + reporting, execution, alignment","risk management + stakeholder management, technical communication","incidents + cycle time, efficiency","SIEM tools + Figma, Miro"
IT,IT Manager v4,"IT strategy, systems + optimization, forecasting, automation","leadership + critical thinking, stakeholder management","downtime + efficiency, quality score","ITSM tools + Miro, Figma"
Sales,SDR v5,"inbound, qualification, SQL, discovery, nurturing, demos + automation, cross-functional, metrics","qualification, communication, CRM + data literacy, critical thinking","SQLs, demo rate, conversion rate + cycle time, throughput","HubSpot, Salesforce + Asana, Power BI"
Sales,AE v5,"closing, ARR, revenue, sales cycle, negotiation, quota, forecasting + optimization, strategy, forecasting","negotiation, storytelling, strategy + problem solving, technical communication","ARR, win rate, quota attainment + ROI, cycle time","Salesforce, Gong, Zoom + Notion, Jira"
Sales,AM v5,"retention, renewals, expansion, churn, NRR, upsell + execution, alignment, cross-functional","relationship mgmt, account strategy + technical communication, adaptability","NRR, churn, expansion revenue + accuracy, quality score","Gainsight, Salesforce + Airtable, Figma"
Sales,Sales Manager v5,"coaching, forecasting, pipeline, performance + roadmapping, alignment, analysis","leadership, analytics + collaboration, stakeholder management","team quota, forecast accuracy + growth rate, accuracy","Salesforce + Power BI, Asana"
Sales,RevOps v5,"revenue ops, forecasting, processes, automation + execution, automation, experimenting","data analysis, systems thinking + problem solving, stakeholder management","revenue growth, efficiency + growth rate, quality score","Salesforce, HubSpot, Tableau + Google Workspace, Airtable"
Marketing,Marketing Manager v5,"brand, campaigns, positioning, GTM + analysis, reporting, roadmapping","strategy, leadership + technical communication, problem solving","CAC, MQLs + throughput, efficiency","HubSpot, GA4 + Google Workspace, Jira"
Marketing,Growth Marketer v5,"experimentation, funnels, CRO, growth loops + scaling, benchmarking, roadmapping","analytics, creativity + collaboration, data literacy","conversion rate, LTV/CAC + cycle time, accuracy","GA4, Mixpanel + Notion, Slack"
Marketing,Performance Marketer v5,"paid ads, PPC, ROAS, funnels + benchmarking, metrics, prioritization","data-driven thinking + adaptability, critical thinking","ROAS, CPA + accuracy, ROI","Google Ads, Meta Ads + Looker, Airtable"
Marketing,Content Marketer v5,"content, SEO, storytelling, copywriting + reporting, alignment, prioritization","writing, SEO + adaptability, time management","organic traffic, engagement + growth rate, accuracy","Ahrefs, SEMrush + Looker, Google Workspace"
Marketing,SEO Specialist v5,"keywords, ranking, backlinks, SERP + forecasting, roadmapping, cross-functional","technical SEO + time management, collaboration","organic traffic + velocity, ROI","Ahrefs, Screaming Frog + Miro, Google Workspace"
Marketing,Product Marketing v5,"positioning, messaging, personas + benchmarking, forecasting, experimenting","market analysis + time management, collaboration","adoption, retention + cycle time, quality score","Notion, Figma + Miro, Looker"
Marketing,Community Manager v5,"community, engagement, social media + benchmarking, strategy, optimization","communication + problem solving, adaptability","engagement rate + quality score, growth rate","Discord, LinkedIn + Looker, Airtable"
Product,Product Manager v5,"roadmap, backlog, discovery, MVP, prioritization + metrics, experimenting, benchmarking","strategic thinking, communication + data literacy, stakeholder management","feature adoption, retention + ROI, accuracy","Jira, Productboard + Notion, Miro"
Product,Product Owner v5,"backlog, user stories, agile + scaling, analysis, automation","requirements mgmt + data literacy, adaptability","sprint velocity + cycle time, accuracy","Jira + Looker, Notion"
Product,UX Researcher v5,"user research, interviews, personas + roadmapping, metrics, optimization","empathy, analysis + collaboration, stakeholder management","insights generated + efficiency, accuracy","UserTesting + Asana, Notion"
Product,UX Designer v5,"UX, UI, wireframes, prototypes + scaling, cross-functional, experimenting","design thinking + technical communication, data literacy","usability score + throughput, velocity","Figma + Power BI, Jira"
Product,Product Analyst v5,"metrics, cohorts, funnels + analysis, roadmapping, metrics","data analysis + time management, technical communication","retention, DAU/MAU + velocity, cycle time","SQL, Amplitude + Slack, Miro"
Engineering,Frontend Developer v5,"React, UI, performance, APIs + strategy, roadmapping, optimization","coding, debugging + technical communication, data literacy","deployment frequency + ROI, velocity","GitHub, React + Asana, Jira"
Engineering,Backend Developer v5,"APIs, databases, architecture + scaling, experimenting, prioritization","system design + adaptability, data literacy","latency, uptime + growth rate, velocity","Node, Python + Airtable, Slack"
Engineering,Full Stack Developer v5,"frontend, backend, databases + metrics, execution, optimization","versatility + problem solving, data literacy","delivery speed + velocity, ROI","GitHub + Google Workspace, Airtable"
Engineering,Mobile Developer v5,"iOS, Android, apps + strategy, execution, scaling","mobile dev + stakeholder management, data literacy","crash rate + cycle time, quality score","Swift, Kotlin + Airtable, Figma"
Engineering,DevOps Engineer v5,"CI/CD, cloud, infrastructure + strategy, automation, optimization","automation + time management, critical thinking","uptime, MTTR + accuracy, efficiency","AWS, Docker + Looker, Asana"
Engineering,QA Engineer v5,"testing, automation, bugs + prioritization, cross-functional, analysis","attention to detail + time management, technical communication","defect rate + throughput, ROI","Selenium + Miro, Power BI"
Engineering,Tech Lead v5,"architecture, mentoring, code quality + metrics, prioritization, alignment","leadership + adaptability, time management","delivery predictability + efficiency, velocity","GitHub + Power BI, Miro"
Engineering,CTO v5,"technology strategy, scalability + optimization, analysis, execution","leadership, vision + technical communication, time management","platform stability + cycle time, efficiency","Cloud platforms + Airtable, Notion"
Customer Success,CSM v5,"onboarding, adoption, retention, NPS + cross-functional, scaling, roadmapping","relationship mgmt + adaptability, problem solving","NRR, churn + cycle time, throughput","Gainsight + Jira, Miro"
Customer Success,Support Agent v5,"tickets, troubleshooting, SLA + benchmarking, alignment, analysis","problem-solving + adaptability, collaboration","CSAT, response time + ROI, quality score","Zendesk + Miro, Figma"
Customer Success,Implementation Manager v5,"onboarding, integration + forecasting, metrics, cross-functional","project mgmt + technical communication, time management","time-to-value + ROI, accuracy","Jira + Looker, Figma"
Customer Success,Head of CS v5,"retention strategy, scaling + forecasting, reporting, execution","leadership + data literacy, time management","NRR, churn + growth rate, ROI","CRM tools + Jira, Power BI"
HR,Recruiter v5,"hiring, sourcing, interviews + alignment, automation, analysis","communication + collaboration, adaptability","time-to-hire + growth rate, accuracy","LinkedIn Recruiter + Notion, Asana"
HR,HR Manager v5,"policies, culture, compliance + experimenting, reporting, execution","leadership + time management, technical communication","attrition rate + cycle time, throughput","BambooHR + Notion, Jira"
HR,People Partner v5,"engagement, performance + experimenting, strategy, cross-functional","coaching + critical thinking, collaboration","engagement score + growth rate, cycle time","Lattice + Jira, Looker"
HR,L&D Specialist v5,"training, development + analysis, cross-functional, alignment","instructional design + adaptability, technical communication","training completion + ROI, accuracy","LMS + Looker, Figma"
HR,Payroll Specialist v5,"payroll, compensation + cross-functional, metrics, scaling","accuracy + critical thinking, adaptability","payroll errors + ROI, accuracy","ADP + Google Workspace, Notion"
Finance,CFO v5,"financial strategy, forecasting, capital + scaling, prioritization, benchmarking","leadership + problem solving, time management","EBITDA + efficiency, velocity","Excel + Google Workspace, Asana"
Finance,Financial Analyst v5,"budgeting, forecasting, modeling + analysis, optimization, forecasting","analytics + technical communication, critical thinking","variance + cycle time, growth rate","Excel, Power BI + Slack, Looker"
Finance,Accountant v5,"accounting, reporting, compliance + execution, forecasting, metrics","precision + time management, critical thinking","closing time + growth rate, ROI","SAP + Slack, Airtable"
Finance,FP&A v5,"planning, metrics, business insights + forecasting, experimenting, reporting","analysis + collaboration, critical thinking","forecast accuracy + quality score, growth rate","Excel + Looker, Power BI"
Finance,AR/AP Specialist v5,"invoicing, collections + prioritization, analysis, automation","organization + critical thinking, adaptability","DSO + quality score, growth rate","ERP systems + Airtable, Slack"
Data,Data Analyst v5,"SQL, dashboards, insights + automation, optimization, cross-functional","analytics + data literacy, collaboration","data accuracy + throughput, efficiency","SQL, Tableau + Looker, Airtable"
Data,Data Scientist v5,"ML, models, predictions + benchmarking, scaling, metrics","statistics + adaptability, data literacy","model accuracy + accuracy, velocity","Python + Jira, Looker"
Data,Analytics Engineer v5,"pipelines, transformation + reporting, cross-functional, optimization","data engineering + collaboration, stakeholder management","pipeline reliability + growth rate, throughput","dbt + Slack, Looker"
Data,Head of Data v5,"data strategy, governance + strategy, automation, analysis","leadership + collaboration, adaptability","data adoption + velocity, quality score","Snowflake + Google Workspace, Slack"
Operations,Operations Manager v5,"processes, efficiency, scalability + strategy, prioritization, execution","optimization + data literacy, problem solving","cost reduction + ROI, velocity","Asana + Notion, Looker"
Operations,Business Operations v5,"strategy, execution + analysis, forecasting, prioritization","cross-functional thinking + collaboration, data literacy","OKRs + ROI, throughput","Notion + Looker, Slack"
Operations,Supply Chain Manager v5,"logistics, inventory + forecasting, automation, reporting","planning + technical communication, time management","lead time + ROI, cycle time","ERP + Slack, Miro"
Operations,Project Manager v5,"timelines, scope, resources + forecasting, automation, metrics","organization + technical communication, data literacy","delivery rate + velocity, accuracy","Jira + Jira, Slack"
Legal,Legal Counsel v5,"contracts, compliance, risk + roadmapping, prioritization, strategy","legal expertise + adaptability, problem solving","contract cycle time + growth rate, throughput","DocuSign + Miro, Jira"
Legal,Compliance Officer v5,"regulations, audits + execution, strategy, reporting","attention to detail + critical thinking, data literacy","compliance rate + efficiency, velocity","GRC tools + Looker, Google Workspace"
Legal,Paralegal v5,"documentation, research + cross-functional, optimization, strategy","organization + collaboration, adaptability","case turnaround + efficiency, quality score","Legal software + Notion, Jira"
IT,IT Support v5,"troubleshooting, hardware, software + roadmapping, automation, optimization","technical support + stakeholder management, data literacy","ticket resolution + cycle time, accuracy","ServiceNow + Notion, Figma"
IT,System Administrator v5,"networks, servers, security + roadmapping, metrics, optimization","infrastructure + collaboration, adaptability","uptime + cycle time, throughput","Linux + Looker, Slack"
IT,Security Engineer v5,"cybersecurity, threat detection + cross-functional, forecasting, automation","risk management + technical communication, stakeholder management","incidents + cycle time, quality score","SIEM tools + Looker, Figma"
IT,IT Manager v5,"IT strategy, systems + automation, analysis, strategy","leadership + critical thinking, time management","downtime + growth rate, accuracy","ITSM tools + Slack, Google Workspace"
Sales,SDR v6,"inbound, qualification, SQL, discovery, nurturing, demos + roadmapping, strategy, cross-functional","qualification, communication, CRM + problem solving, technical communication","SQLs, demo rate, conversion rate + accuracy, ROI","HubSpot, Salesforce + Asana, Notion"
Sales,AE v6,"closing, ARR, revenue, sales cycle, negotiation, quota, forecasting + prioritization, metrics, optimization","negotiation, storytelling, strategy + problem solving, data literacy","ARR, win rate, quota attainment + quality score, cycle time","Salesforce, Gong, Zoom + Slack, Jira"
Sales,AM v6,"retention, renewals, expansion, churn, NRR, upsell + prioritization, strategy, scaling","relationship mgmt, account strategy + adaptability, technical communication","NRR, churn, expansion revenue + accuracy, throughput","Gainsight, Salesforce + Looker, Jira"
Sales,Sales Manager v6,"coaching, forecasting, pipeline, performance + benchmarking, reporting, analysis","leadership, analytics + data literacy, adaptability","team quota, forecast accuracy + accuracy, growth rate","Salesforce + Jira, Figma"
Sales,RevOps v6,"revenue ops, forecasting, processes, automation + alignment, prioritization, roadmapping","data analysis, systems thinking + problem solving, adaptability","revenue growth, efficiency + growth rate, velocity","Salesforce, HubSpot, Tableau + Slack, Looker"
Marketing,Marketing Manager v6,"brand, campaigns, positioning, GTM + benchmarking, strategy, experimenting","strategy, leadership + collaboration, adaptability","CAC, MQLs + quality score, efficiency","HubSpot, GA4 + Jira, Airtable"
Marketing,Growth Marketer v6,"experimentation, funnels, CRO, growth loops + alignment, benchmarking, experimenting","analytics, creativity + collaboration, data literacy","conversion rate, LTV/CAC + quality score, ROI","GA4, Mixpanel + Airtable, Jira"
Marketing,Performance Marketer v6,"paid ads, PPC, ROAS, funnels + forecasting, optimization, benchmarking","data-driven thinking + adaptability, data literacy","ROAS, CPA + quality score, efficiency","Google Ads, Meta Ads + Figma, Asana"
Marketing,Content Marketer v6,"content, SEO, storytelling, copywriting + reporting, cross-functional, alignment","writing, SEO + technical communication, stakeholder management","organic traffic, engagement + efficiency, velocity","Ahrefs, SEMrush + Figma, Miro"
Marketing,SEO Specialist v6,"keywords, ranking, backlinks, SERP + alignment, strategy, cross-functional","technical SEO + data literacy, adaptability","organic traffic + quality score, growth rate","Ahrefs, Screaming Frog + Airtable, Power BI"
Marketing,Product Marketing v6,"positioning, messaging, personas + prioritization, reporting, strategy","market analysis + collaboration, time management","adoption, retention + accuracy, quality score","Notion, Figma + Figma, Looker"
Marketing,Community Manager v6,"community, engagement, social media + experimenting, roadmapping, strategy","communication + critical thinking, problem solving","engagement rate + velocity, ROI","Discord, LinkedIn + Looker, Power BI"
Product,Product Manager v6,"roadmap, backlog, discovery, MVP, prioritization + prioritization, automation, optimization","strategic thinking, communication + critical thinking, technical communication","feature adoption, retention + velocity, ROI","Jira, Productboard + Slack, Google Workspace"
Product,Product Owner v6,"backlog, user stories, agile + scaling, optimization, analysis","requirements mgmt + technical communication, adaptability","sprint velocity + growth rate, accuracy","Jira + Power BI, Notion"
Product,UX Researcher v6,"user research, interviews, personas + benchmarking, strategy, reporting","empathy, analysis + adaptability, stakeholder management","insights generated + throughput, efficiency","UserTesting + Figma, Looker"
Product,UX Designer v6,"UX, UI, wireframes, prototypes + analysis, reporting, experimenting","design thinking + stakeholder management, critical thinking","usability score + ROI, growth rate","Figma + Asana, Slack"
Product,Product Analyst v6,"metrics, cohorts, funnels + execution, roadmapping, reporting","data analysis + stakeholder management, time management","retention, DAU/MAU + throughput, accuracy","SQL, Amplitude + Slack, Miro"
Engineering,Frontend Developer v6,"React, UI, performance, APIs + analysis, cross-functional, metrics","coding, debugging + problem solving, time management","deployment frequency + growth rate, efficiency","GitHub, React + Power BI, Google Workspace"
Engineering,Backend Developer v6,"APIs, databases, architecture + reporting, strategy, cross-functional","system design + problem solving, adaptability","latency, uptime + velocity, accuracy","Node, Python + Miro, Jira"
Engineering,Full Stack Developer v6,"frontend, backend, databases + benchmarking, roadmapping, experimenting","versatility + problem solving, collaboration","delivery speed + growth rate, cycle time","GitHub + Jira, Power BI"
Engineering,Mobile Developer v6,"iOS, Android, apps + prioritization, analysis, strategy","mobile dev + technical communication, time management","crash rate + efficiency, throughput","Swift, Kotlin + Jira, Slack"
Engineering,DevOps Engineer v6,"CI/CD, cloud, infrastructure + strategy, execution, cross-functional","automation + technical communication, data literacy","uptime, MTTR + ROI, throughput","AWS, Docker + Slack, Airtable"
Engineering,QA Engineer v6,"testing, automation, bugs + experimenting, automation, analysis","attention to detail + data literacy, critical thinking","defect rate + velocity, growth rate","Selenium + Google Workspace, Jira"
Engineering,Tech Lead v6,"architecture, mentoring, code quality + cross-functional, benchmarking, execution","leadership + collaboration, data literacy","delivery predictability + cycle time, ROI","GitHub + Notion, Miro"
Engineering,CTO v6,"technology strategy, scalability + execution, roadmapping, reporting","leadership, vision + stakeholder management, data literacy","platform stability + growth rate, velocity","Cloud platforms + Slack, Notion"
Customer Success,CSM v6,"onboarding, adoption, retention, NPS + execution, experimenting, forecasting","relationship mgmt + problem solving, critical thinking","NRR, churn + quality score, efficiency","Gainsight + Notion, Asana"
Customer Success,Support Agent v6,"tickets, troubleshooting, SLA + cross-functional, alignment, execution","problem-solving + adaptability, stakeholder management","CSAT, response time + ROI, accuracy","Zendesk + Google Workspace, Notion"
Customer Success,Implementation Manager v6,"onboarding, integration + metrics, experimenting, execution","project mgmt + problem solving, time management","time-to-value + velocity, ROI","Jira + Asana, Power BI"
Customer Success,Head of CS v6,"retention strategy, scaling + experimenting, scaling, strategy","leadership + collaboration, problem solving","NRR, churn + growth rate, velocity","CRM tools + Jira, Slack"
HR,Recruiter v6,"hiring, sourcing, interviews + scaling, cross-functional, optimization","communication + collaboration, critical thinking","time-to-hire + quality score, ROI","LinkedIn Recruiter + Looker, Notion"
HR,HR Manager v6,"policies, culture, compliance + experimenting, scaling, reporting","leadership + problem solving, critical thinking","attrition rate + cycle time, efficiency","BambooHR + Figma, Notion"
HR,People Partner v6,"engagement, performance + benchmarking, scaling, roadmapping","coaching + problem solving, data literacy","engagement score + cycle time, efficiency","Lattice + Jira, Slack"
HR,L&D Specialist v6,"training, development + prioritization, analysis, metrics","instructional design + problem solving, technical communication","training completion + cycle time, velocity","LMS + Slack, Power BI"
HR,Payroll Specialist v6,"payroll, compensation + reporting, metrics, benchmarking","accuracy + problem solving, time management","payroll errors + throughput, ROI","ADP + Miro, Google Workspace"
Finance,CFO v6,"financial strategy, forecasting, capital + forecasting, cross-functional, scaling","leadership + data literacy, problem solving","EBITDA + quality score, cycle time","Excel + Asana, Power BI"
Finance,Financial Analyst v6,"budgeting, forecasting, modeling + metrics, execution, alignment","analytics + problem solving, data literacy","variance + efficiency, velocity","Excel, Power BI + Figma, Power BI"
Finance,Accountant v6,"accounting, reporting, compliance + reporting, strategy, alignment","precision + adaptability, time management","closing time + velocity, accuracy","SAP + Google Workspace, Power BI"
Finance,FP&A v6,"planning, metrics, business insights + reporting, metrics, prioritization","analysis + collaboration, time management","forecast accuracy + growth rate, quality score","Excel + Slack, Figma"
Finance,AR/AP Specialist v6,"invoicing, collections + execution, metrics, experimenting","organization + technical communication, problem solving","DSO + quality score, accuracy","ERP systems + Notion, Miro"
Data,Data Analyst v6,"SQL, dashboards, insights + reporting, analysis, prioritization","analytics + problem solving, data literacy","data accuracy + growth rate, throughput","SQL, Tableau + Slack, Airtable"
Data,Data Scientist v6,"ML, models, predictions + strategy, automation, execution","statistics + time management, stakeholder management","model accuracy + ROI, velocity","Python + Jira, Google Workspace"
Data,Analytics Engineer v6,"pipelines, transformation + strategy, prioritization, execution","data engineering + data literacy, adaptability","pipeline reliability + cycle time, accuracy","dbt + Asana, Airtable"
Data,Head of Data v6,"data strategy, governance + prioritization, metrics, reporting","leadership + adaptability, collaboration","data adoption + efficiency, cycle time","Snowflake + Airtable, Notion"
Operations,Operations Manager v6,"processes, efficiency, scalability + roadmapping, experimenting, scaling","optimization + time management, technical communication","cost reduction + velocity, cycle time","Asana + Jira, Figma"
Operations,Business Operations v6,"strategy, execution + scaling, alignment, experimenting","cross-functional thinking + time management, technical communication","OKRs + ROI, throughput","Notion + Figma, Notion"
Operations,Supply Chain Manager v6,"logistics, inventory + automation, forecasting, strategy","planning + problem solving, critical thinking","lead time + velocity, quality score","ERP + Figma, Notion"
Operations,Project Manager v6,"timelines, scope, resources + optimization, experimenting, roadmapping","organization + technical communication, adaptability","delivery rate + accuracy, efficiency","Jira + Miro, Looker"
Legal,Legal Counsel v6,"contracts, compliance, risk + experimenting, metrics, benchmarking","legal expertise + problem solving, technical communication","contract cycle time + growth rate, cycle time","DocuSign + Airtable, Slack"
Legal,Compliance Officer v6,"regulations, audits + alignment, experimenting, benchmarking","attention to detail + data literacy, time management","compliance rate + ROI, throughput","GRC tools + Power BI, Miro"
Legal,Paralegal v6,"documentation, research + reporting, prioritization, experimenting","organization + data literacy, stakeholder management","case turnaround + velocity, growth rate","Legal software + Slack, Looker"
IT,IT Support v6,"troubleshooting, hardware, software + experimenting, execution, metrics","technical support + adaptability, technical communication","ticket resolution + velocity, efficiency","ServiceNow + Miro, Jira"
IT,System Administrator v6,"networks, servers, security + automation, strategy, cross-functional","infrastructure + time management, critical thinking","uptime + throughput, efficiency","Linux + Looker, Airtable"
IT,Security Engineer v6,"cybersecurity, threat detection + prioritization, metrics, cross-functional","risk management + technical communication, collaboration","incidents + quality score, efficiency","SIEM tools + Jira, Google Workspace"
IT,IT Manager v6,"IT strategy, systems + experimenting, metrics, cross-functional","leadership + time management, critical thinking","downtime + ROI, growth rate","ITSM tools + Power BI, Asana"
